;Time;E;S;ES;P
127;12.046824547127802;107;479;3;28
128;12.106503308803758;108;480;2;28
129;12.13594495039706;107;479;3;28
130;12.161069041385012;106;478;4;28
131;12.19072144907262;107;479;3;28
132;12.208975163006933;106;478;4;28
133;12.233583900056296;105;477;5;28
134;12.280920129669786;104;476;6;28
135;12.305288808855156;105;477;5;28
136;12.308332571348682;106;478;4;28
137;12.333103721200947;107;478;3;29
138;12.380843198996835;108;479;2;29
139;12.487135397645892;107;478;3;29
140;12.506843377741387;108;478;2;30
141;12.567964705453768;109;479;1;30
142;12.686965666905337;110;480;0;30
143;13.034465287119248;109;479;1;30
144;13.18268588605854;108;478;2;30
145;13.21947685508173;107;477;3;30
146;13.233370885789318;108;478;2;30
147;13.233435062141996;109;479;1;30
148;13.274773724570926;110;479;0;31
149;13.283718927039477;109;478;1;31
150;13.3511135588964;108;477;2;31
151;13.519703117210948;107;476;3;31
152;13.547294265036944;106;475;4;31
153;13.589762601719311;107;476;3;31
154;13.6033791615196;108;477;2;31
155;13.675178715987961;107;476;3;31
156;13.775214137012538;108;476;2;32
157;13.874713905217654;107;475;3;32
158;13.917750557080437;108;475;2;33
159;13.948899179425624;109;475;1;34
160;14.110247093461723;110;475;0;35
161;14.111412571677953;109;474;1;35
162;14.343427990815668;108;473;2;35
163;14.37993193804784;107;472;3;35
164;14.478751235195933;108;473;2;35
165;14.553128342168389;109;473;1;36
166;14.559735660344117;108;472;2;36
167;14.619121044670782;107;471;3;36
168;14.640295318359284;108;472;2;36
169;15.0507946315762;107;471;3;36
170;15.116792215853794;108;471;2;37
171;15.196973409974225;109;472;1;37
172;15.293028314386088;108;471;2;37
173;15.3569113033774;109;471;1;38
174;15.508433725657545;110;472;0;38
175;15.644918486351292;109;471;1;38
176;15.676044624220072;110;472;0;38
177;15.766492040663312;109;471;1;38
178;15.922058110347669;108;470;2;38
179;15.92569639255484;109;471;1;38
180;15.947530034456502;110;472;0;38
181;16.036872771461375;109;471;1;38
182;16.089032403453214;110;472;0;38
183;16.158524522804306;109;471;1;38
184;16.317560899824496;110;472;0;38
185;16.47220983158851;109;471;1;38
