;Time;E;S;ES;P
70;5.886038850958112;104;497;6;7
71;5.888255116626025;105;497;5;8
72;5.90300700782135;106;498;4;8
73;5.906397157712424;105;497;5;8
74;5.91067789318587;106;498;4;8
75;5.92229105578705;105;497;5;8
76;5.946030575483443;106;498;4;8
77;5.9706426734366955;107;499;3;8
78;6.015908079781236;106;498;4;8
79;6.05260019719456;107;499;3;8
80;6.133444617612208;108;500;2;8
81;6.161101616842486;109;501;1;8
82;6.5060145058559185;110;502;0;8
83;6.584330947564846;109;501;1;8
84;6.714249449081939;110;502;0;8
85;6.719718549891332;109;501;1;8
86;6.728382307354052;108;500;2;8
87;6.741583729263354;107;499;3;8
88;6.786596078936198;108;499;2;9
89;6.931381881576633;109;500;1;9
90;6.974405905191655;108;499;2;9
91;7.011504692819738;109;500;1;9
92;7.549328556789302;108;499;2;9
93;7.556651710913866;109;499;1;10
94;7.682683538628359;108;498;2;10
95;7.812416678477821;107;497;3;10
96;7.853482483866833;108;498;2;10
97;7.952165205322659;107;497;3;10
98;8.017404706555551;108;498;2;10
99;8.294573166696829;109;499;1;10
100;8.36095352511479;108;498;2;10
101;8.372195492105302;109;499;1;10
102;8.455728747005994;108;498;2;10
103;8.461577883426347;109;498;1;11
104;8.73971427791385;108;497;2;11
105;8.743161983590014;107;496;3;11
106;8.762234204288411;106;495;4;11
107;8.794686793510538;107;495;3;12
108;8.808181115950042;108;496;2;12
109;8.940569824557825;109;497;1;12
110;8.953683956988648;108;496;2;12
111;9.038981179246386;109;497;1;12
112;9.185860776190115;110;498;0;12
113;9.204427252056005;109;497;1;12
114;9.757518982084411;108;496;2;12
115;9.765947650472224;107;495;3;12
116;9.81625960977484;108;496;2;12
117;10.097731096939373;109;497;1;12
118;10.177232485590011;110;497;0;13
119;10.291310823166599;109;496;1;13
120;10.882757132328148;110;497;0;13
121;10.928441154147405;109;496;1;13
122;11.05204533662924;110;496;0;14
123;11.395678828357111;109;495;1;14
124;11.525641870549595;108;494;2;14
125;11.5558654561423;107;493;3;14
126;11.86644321363126;108;494;2;14
127;11.88979480842969;107;493;3;14
128;11.895385242162677;106;492;4;14
129;11.96763695131862;107;493;3;14
130;11.98937798664307;108;494;2;14
131;12.168283887572404;107;493;3;14
132;12.170397985673194;108;493;2;15
133;12.303565290604446;107;492;3;15
134;12.42455230924968;108;493;2;15
135;12.494040668200066;107;492;3;15
136;12.527869026100799;106;491;4;15
137;12.559442285461973;107;492;3;15
138;12.59068913280878;106;491;4;15
139;12.651001060004987;105;490;5;15
140;12.697552954499859;106;491;4;15
141;12.772463454617347;107;492;3;15
142;12.798869452724597;108;493;2;15
143;12.815941351284657;107;492;3;15
144;12.865596155201537;108;493;2;15
145;13.016832287000993;109;494;1;15
146;13.126700838890907;108;493;2;15
147;13.127720468679716;107;492;3;15
148;13.156784726603991;108;493;2;15
149;13.237358699595088;107;492;3;15
150;13.362256886237969;106;491;4;15
151;13.411684329705722;107;492;3;15
152;13.437338661364672;108;493;2;15
153;13.446814467034036;107;492;3;15
154;13.514809099454014;108;493;2;15
155;13.569841061421238;109;494;1;15
156;13.788287597547855;110;495;0;15
157;13.872294228759456;109;494;1;15
158;13.95894380867349;110;495;0;15
159;14.005218876440011;109;494;1;15
160;14.248519995302985;110;495;0;15
161;14.566909543978996;109;494;1;15
162;14.800558546613676;110;495;0;15
163;15.254614234149132;109;494;1;15
164;15.426299388572343;110;495;0;15
165;15.463368071223604;109;494;1;15
166;15.513006621318294;108;493;2;15
167;15.552902660960282;109;494;1;15
168;15.662000318726639;108;493;2;15
169;15.780974026163152;107;492;3;15
170;15.78212055444746;108;493;2;15
171;15.83397582721258;109;493;1;16
172;15.846425961904066;108;492;2;16
173;16.086971182984495;109;493;1;16
174;16.08775229175793;108;492;2;16
175;16.09024256858402;109;493;1;16
176;16.929319941540232;108;492;2;16
177;17.0097685773479;109;493;1;16
178;17.136747754944352;110;494;0;16
179;17.153619265547363;109;493;1;16
180;17.20416113841916;108;492;2;16
181;17.218235731637712;107;491;3;16
182;17.267025793652905;108;492;2;16
183;17.277404589327322;107;491;3;16
184;17.340151355111374;108;492;2;16
185;17.36760671793604;107;491;3;16
186;17.419334123596137;108;492;2;16
187;17.43787395266619;109;493;1;16
188;17.685392833978824;108;492;2;16
189;17.754808148955355;107;491;3;16
190;17.964440335501912;108;492;2;16
191;18.023260104362492;109;493;1;16
192;18.031111897985884;108;492;2;16
193;18.045791798892555;107;491;3;16
194;18.0965074379654;106;490;4;16
195;18.321419849632953;107;491;3;16
196;18.388967968409368;106;490;4;16
197;18.42817879519846;107;491;3;16
198;18.435784373716103;106;490;4;16
199;18.480311545016303;107;490;3;17
200;18.59053535997559;108;491;2;17
201;18.61021588449049;109;492;1;17
202;18.94100502254736;108;491;2;17
203;18.963297395868523;107;490;3;17
204;19.056489293140174;106;489;4;17
205;19.098441441870765;107;490;3;17
206;19.19682302897281;106;489;4;17
207;19.256816316928703;107;490;3;17
208;19.33108574233504;106;489;4;17
209;19.46271314842162;105;488;5;17
210;19.471378573439896;104;487;6;17
211;19.547671075267058;105;488;5;17
212;19.607832937351862;104;487;6;17
213;19.729555183535297;105;488;5;17
214;19.813139849778768;104;487;6;17
215;19.814551950607715;103;486;7;17
216;19.843921529720514;102;485;8;17
217;19.846986401644912;103;486;7;17
218;19.87920094898421;104;486;6;18
219;19.922246673508216;105;487;5;18
220;19.94377919081622;106;488;4;18
221;19.991742547205718;105;487;5;18
222;20.093864052227367;106;487;4;19
223;20.161471061188596;107;488;3;19
224;20.19883977439046;108;489;2;19
225;20.205468098453526;109;490;1;19
226;20.359788277961986;110;491;0;19
227;20.49094228782381;109;490;1;19
228;20.563829755903804;108;489;2;19
229;20.59939172107694;107;488;3;19
230;20.707096530324485;108;489;2;19
231;20.838956413279764;107;488;3;19
232;20.944726216234212;108;489;2;19
233;21.00327653724681;107;488;3;19
234;21.04835310007526;108;489;2;19
235;21.115234748616963;107;488;3;19
236;21.19328116718356;108;489;2;19
237;21.276949606606546;109;490;1;19
238;21.470867199141985;108;489;2;19
239;21.512168607058253;109;490;1;19
240;21.68249323733628;110;491;0;19
241;21.769815312110175;109;490;1;19
242;22.263186713362177;108;489;2;19
243;22.497911343234914;109;490;1;19
244;22.502543426443406;108;489;2;19
245;22.601552090922343;107;488;3;19
246;22.705462341621697;108;489;2;19
247;22.709553565052456;109;489;1;20
248;22.7520010469074;108;488;2;20
249;22.781398963322324;109;489;1;20
